Name,Description,Emissions,Animal Lives,LLM Generated,Ingredients,Predicted Rating
Lentil Linguine Ragu,Al dente linguine tossed with a robust lentil ragu and finished with fresh herbs and cheese.,1.8,0.0,1,"['Lentils', 'baby spinach', 'tomatoes', 'basil', 'pecorino cheese']",6
Lentil Meatballs with Spaghetti,Tender lentil meatballs served over spaghetti with a rich tomato sauce and creamy yoghurt.,1.8,0.0,1,"['Lentils', 'Greek yoghurt', 'tomato sauce', 'onions']",5
Lentil Ragu Spaghetti,A hearty lentil and vegetable ragu served over tender spaghetti with aromatic fennel.,1.8,0.0,1,"['Lentils', 'mixed vegetables', 'tomato sauce', 'fennel']",5
Jackfruit Arrabiata,"Spicy jackfruit ""pulled pork"" with peppers and vegan cheese in a fiery arrabiata sauce.",1.1,0.0,1,"['Jackfruit', 'peppers', 'spicy harissa', 'roquito chilis', 'vegan Mozzarella cheese', 'basil']",5
Tofu Fish and Chips,Crispy battered tofu fillets served with golden fries and a refreshing pea puree.,3.2,0.0,1,"['Tofu', 'beer batter', 'frites', 'pea & mint puree']",4
Pork Ribs, Pork Ribs smothered with Kentucky style BBQ sauce,12.3,0.01040582726326743,0,,9
Rustica Chorizo Pizza," Chorizo salami, torn wild boar and pork meatballs, smoked mozzarella and baby sunblush tomatoes",12.3,0.01040582726326743,0,,9
Four Cheese Margherita," Mozzarella, mascarpone, fontal and grana cheese on a tomato base",23.9,0.0,0,,9
Panchetta Carbonara," crispy pancetta and asparagus in a velvety sauce made with mascarpone, pecorino and Grana Padano cheese",12.3,0.01040582726326743,0,,9
Chicken Curry Ramen, Japanese fried chicken & noodles in a delicious curry broth,9.9,0.5882352941176471,0,,8
Chicken Katsu Curry," Succulent chicken in a crispy Japanese panko crumb with mild curry sauce, pickles and steamed rice",9.9,0.5882352941176471,0,,8
Pork Porchetta," Slow-roasted pork belly in herbed red wine sauce, served with roasted new potatoes and broccoli",12.3,0.01040582726326743,0,,8
Beer Battered Fish with Chips, with frites and pea & mint puree,13.6,0.22727272727272727,0,,8
Goat's Cheese Calzone," Goats cheese, grilled aubergines, roasted peppers, oven roasted tomatoes",23.9,0.0,0,,8
Aromatic Duck Rolls," Aromatic roast duck, hoisin sauce, cucumber, spring onion, rolled in rice paper",9.9,0.0,0,,7
Butterfly Chicken Burger," Two succulent chicken breasts joined by crispy skin, packaged in a Portuguese roll and topped with tomato and lettuce",9.9,0.5882352941176471,0,,7
Halloumi Sticks with Mayo Avocado Dip, Chunky sticks of grilled halloumi cheese with a chilli jam and mayo avocado dip,23.9,0.0,0,,7
Falafel with Tahini," Our signature recipe, served with a tahini dip",1.8,0.0,0,,7
Lentil Linguine Ragu," Rich Italian lentil ragu with baby spinach, tomatoes, basil & pecorino cheese",1.8,0.0,0,,7
Wild Boar Polpette, Oven-baked herby wild boar and pork meatballs in a pomodoro sauce with melted smoked mozzarella,12.3,0.01040582726326743,0,,6
Vegan Spaghetti Lentil Ragu, A hearty ragu of green lentils and mixed vegetables in a rich tomato and fennel sauce,1.8,0.0,0,,6
Butternut Squash Salad," Roasted butternut squash with feta cheese, pomegranate seeds, mixed leaf salad and watercress",0.5,0.0,0,,6
Aegean Slaw," Thinly shredded cabbage, carrot and red onion peppers, with an olive oil dressing",0.5,0.0,0,,6
Jack Fruit Arrabiata," Vegan jackfruit peppers, spicy harissa, roquito chilis & vegan Mozzarella cheese, finished with basil",1.1,0.0,0,,5
Vegan Meatballs, Vegan meatballs in a rich tomato and fennel sauce,3.2,0.0,0,,5
Harusami Aubergine, Fried slices of aubergine with garlic & ginger sesame soy,0.5,0.0,0,,5
